R,regime,strategy,B,B_over_R,dv_hohmann_bar,dv_bielliptic_bar,saving_bar,dv_saving_m_s,t_hohmann_days,t_bielliptic_days,time_ratio,extra_time_days,rb_km,rb_altitude_km,rb_over_lunar_distance,model_validity_flag
14.0,large_B_bielliptic,B/R=3,42.0,3.0,0.5359313367455175,0.53356910612099,0.0023622306245275615,18.25002837445061,0.6455680902164185,7.790138299716365,12.067105573797523,7.144570209499947,280481.7246,274103.5883,0.7296610941727367,lunar_third_body_caution
14.0,large_B_bielliptic,2*B_crit,52.20922256470084,3.729230183192917,0.5359313367455175,0.532402720124288,0.0035286166212294967,27.26124739529851,0.6455680902164185,10.299697013790196,15.954470442207503,9.654128923573777,348660.3044041078,342282.1681041078,0.9070247252968465,lunar_third_body_caution
14.0,large_B_bielliptic,B/R=5,70.0,5.0,0.5359313367455175,0.5309368173346811,0.0049945194108363955,38.586461464886945,0.6455680902164185,15.203106117696235,23.54996529118964,14.557538027479817,467469.541,461091.4047,1.216101823621228,two_body_invalid
14.0,large_B_bielliptic,B/R=10,140.0,10.0,0.5359313367455175,0.5282752982294482,0.00765603851606933,59.14872100267355,0.6455680902164185,39.84183994955956,61.71593756470071,39.196271859343135,934939.082,928560.9457,2.432203647242456,two_body_invalid
14.0,large_B_bielliptic,B/R=20,280.0,20.0,0.5359313367455175,0.5266902504743592,0.009241086271158272,71.39442055667784,0.6455680902164185,108.3615422357657,167.85455148416472,107.71597414554927,1869878.164,1863500.0277000002,4.864407294484912,two_body_invalid
14.0,large_B_bielliptic,B/R=50,700.0,50.0,0.5359313367455175,0.5256497915454216,0.010281545200095943,79.43275719426191,0.6455680902164185,418.25252852390037,647.8829032328512,417.6069604336839,4674695.41,4668317.2737,12.161018236212279,two_body_invalid
14.0,large_B_bielliptic,B/R=100,1400.0,100.0,0.5359313367455175,0.5252873169295955,0.010644019815922001,82.23314931311637,0.6455680902164185,1173.5760586896708,1817.8966347240685,1172.9304905994545,9349390.82,9343012.6837,24.322036472424557,two_body_invalid
15.0,large_B_bielliptic,B_crit,18.19028151222189,1.2126854341481261,0.5362181905925487,0.5362181905925487,0.0,0.0,0.7111891803736509,3.058989918836786,4.301232362997461,2.3478007384631354,121477.1792739879,115099.0429739879,0.3160176359885221,lunar_third_body_caution
15.0,large_B_bielliptic,B/R=1.25,18.75,1.25,0.5362181905925487,0.5361542613854106,6.392920713815808e-05,0.49390175206150916,0.7111891803736509,3.1541318132880964,4.435010965199092,2.4429426329144457,125215.05562500001,118836.91932500001,0.3257415598985432,lunar_third_body_caution
15.0,large_B_bielliptic,1.1*B_crit,20.009309663444082,1.3339539775629388,0.5362181905925487,0.5359700338606264,0.00024815673192235543,1.9171995112880562,0.7111891803736509,3.3719646280697666,4.74130473455484,2.660775447696116,133624.89720138672,127246.76090138672,0.34761939958737437,lunar_third_body_caution
15.0,large_B_bielliptic,B/R=1.5,22.5,1.5,0.5362181905925487,0.5355003625519392,0.0007178280406094917,5.545767620263387,0.7111891803736509,3.817753975010864,5.368127188050103,3.1065647946372135,150258.06675,143879.93044999999,0.3908898718782518,lunar_third_body_caution
15.0,large_B_bielliptic,B/R=2,30.0,2.0,0.5362181905925487,0.5338575034572848,0.002360687135263939,18.23810374585411,0.7111891803736509,5.272466242643196,7.413591753284409,4.5612770622695455,200344.089,193965.9527,0.5211864958376691,lunar_third_body_caution
15.0,large_B_bielliptic,2*B_crit,36.38056302444378,2.4253708682962523,0.5362181905925487,0.5325651175093042,0.0036530730832444736,28.222768230551978,0.7111891803736509,6.6322894849291725,9.325633274461012,5.921100304555522,242954.3585479758,236576.2222479758,0.6320352719770442,lunar_third_body_caution
15.0,large_B_bielliptic,B/R=3,45.0,3.0,0.5362181905925487,0.531111850361083,0.0051063402314657225,39.45036235930013,0.7111891803736509,8.631449507344392,12.136643449510192,7.92026032697074,300516.1335,294137.9972,0.7817797437565036,lunar_third_body_caution
15.0,large_B_bielliptic,B/R=5,75.0,5.0,0.5362181905925487,0.5279481113937459,0.008270079198802849,63.89265233884228,0.7111891803736509,16.85037868811658,23.693243869744446,16.13918950774293,500860.22250000003,494482.0862,1.3029662395941728,two_body_invalid
15.0,large_B_bielliptic,B/R=10,150.0,10.0,0.5362181905925487,0.5248980908454941,0.011320099747054613,87.45638103251483,0.7111891803736509,44.17132037083727,62.10910063006042,43.46013119046362,1001720.4450000001,995342.3087,2.6059324791883456,two_body_invalid
15.0,large_B_bielliptic,B/R=20,300.0,20.0,0.5362181905925487,0.523123056881918,0.013095133710630757,101.16986855761918,0.7111891803736509,120.1559700684006,168.9507846636137,119.44478088802694,2003440.8900000001,1997062.7537000002,5.211864958376691,two_body_invalid
15.0,large_B_bielliptic,B/R=50,750.0,50.0,0.5362181905925487,0.5219702213786385,0.01424796921391025,110.07639970977228,0.7111891803736509,463.82361877082405,652.1803643400991,463.11242959045046,5008602.225,5002224.088699999,13.029662395941726,two_body_invalid
15.0,large_B_bielliptic,B/R=100,1500.0,100.0,0.5362181905925487,0.5215705806015284,0.014647609991020327,113.16392869450257,0.7111891803736509,1301.4895460649598,1830.018765725839,1300.778356884586,10017204.45,10010826.3137,26.05932479188345,two_body_invalid
15.5,large_B_bielliptic,B_crit,15.896871011509875,1.025604581387734,0.5362575500279885,0.5362575500279885,0.0,0.0,0.7447852776268149,2.7267632565449507,3.6611401144146054,1.981977978918136,106161.47135838181,99783.33505838181,0.27617448324240845,lunar_third_body_caution
15.5,large_B_bielliptic,1.1*B_crit,17.486558112660862,1.1281650395265073,0.5362575500279885,0.536137005935772,0.00012054409221651241,0.9312948026671706,0.7447852776268149,2.988545320528075,4.012626739952193,2.2437600429012603,116777.61849421999,110399.48219421999,0.3037919315666493,lunar_third_body_caution
15.5,large_B_bielliptic,B/R=1.25,19.375,1.25,0.5362575500279885,0.5358257464340428,0.0004318035939456788,3.3360112090132814,0.7447852776268149,3.3106364091180507,4.44508841483423,2.5658511314912356,129388.8908125,123010.7545125,0.3365996118951613,lunar_third_body_caution
15.5,large_B_bielliptic,B/R=1.5,23.25,1.5,0.5362575500279885,0.5349271559568616,0.0013303940711268947,10.278306146387617,0.7447852776268149,4.007486641646269,5.380727522455507,3.262701364019454,155266.668975,148888.532675,0.4039195342741936,lunar_third_body_caution
