R,B_crit,B_crit_over_R,rb_km,rb_altitude_km,rb_over_lunar_distance,time_ratio_at_break_even,model_validity_flag
11.941120879286613,21160.158027031728,1772.0411878366212,141310419.43405697,141304041.29775697,367.6129537826664,132296.90969380894,two_body_invalid
11.941366684423441,19160.784989529846,1604.5721981323595,127958333.7750744,127951955.6387744,332.87807953973567,113998.64745990005,two_body_invalid
11.941638141252103,17350.34549647206,1452.9284249985524,115867972.07753158,115861593.94123158,301.4255256959718,98231.60371425778,two_body_invalid
11.941937926727615,15710.986008432052,1315.614442549464,104920105.97170219,104913727.83540219,272.94512479631163,84645.61544793592,two_body_invalid
11.94226899716622,14226.540081808065,1191.2761373223027,95006773.74372742,95000395.60742742,247.15601910438974,72938.9612269711,two_body_invalid
11.942634617398927,12882.368943153067,1078.6873546633558,86030215.66926314,86023837.53296314,223.8038909189988,62851.65973311738,two_body_invalid
11.943038392967436,11665.21713061937,976.7378071469939,77901909.96737106,77895531.83107106,202.65845464976863,54159.69540808291,two_body_invalid
11.943484305679974,10563.081775433007,884.4221254939409,70541699.84438762,70535321.70808762,183.51118585948913,46670.04291848475,two_body_invalid
11.94397675287765,9565.094236875459,800.8299442286633,63877003.0361988,63870624.899898805,166.17326492247346,40216.37994962853,two_body_invalid
11.944520590798572,8661.412921566123,725.1369241423066,57842096.04079978,57835717.904499784,150.47371498647186,34655.39309067744,two_body_invalid
11.945121182467341,7843.126231004789,656.5966231064004,52377465.98875526,52371087.852455266,136.25771589166303,29863.594768438335,two_body_invalid
11.945784450582194,7102.164680825475,594.5331351160737,47429223.763598524,47422845.62729853,123.38507742871624,25734.580533410834,two_body_invalid
11.946516935921325,6431.221323705276,538.3344248537907,42948572.57517025,42942194.43887025,111.7288568552816,22176.665771199874,two_body_invalid
11.947325861844389,5823.679692492483,487.44629215239655,38891326.754006885,38884948.61770689,101.17410706037171,19110.84935639809,two_body_invalid
11.948219205525204,5273.5485523512025,441.3669067866248,35217476.017269015,35211097.88096902,91.6167430209912,16469.059015924595,two_body_invalid
11.949205776618179,4775.402818470047,399.6418596970187,31890790.909147136,31884412.772847135,82.9625153723911,14192.639429846948,two_body_invalid
11.950295304134178,4324.330056978597,361.85968186766104,28878465.52668984,28872087.390389837,75.12608097473944,12231.049490394933,two_body_invalid
11.951498532382578,3915.8820412443197,327.647786646523,26150794.006151788,26144415.869851787,68.03016130632619,10540.739782842758,two_body_invalid
11.952827326925611,3546.0308859970874,296.66879550824757,23680877.58069831,23674499.44439831,61.60478038683224,9084.185356897236,two_body_invalid
11.954294791589897,3211.1293265626773,268.61721101455316,21444359.31971277,21437981.183412768,55.786574713092534,7829.052304966425,two_body_invalid
