R,regime,dv_hohmann_bar,dv_bielliptic_infinite_bar,dv_best_bar,best_endpoint,saving_bar,saving_m_s,best_endpoint_attainable
3.692971401324309,hohmann_only,0.43518796827135664,0.6297577630483052,0.43518796827135664,B->R+,0.0,0.0,yes
3.72141092535505,hohmann_only,0.4365397472481108,0.628932574553102,0.4365397472481108,B->R+,0.0,0.0,yes
3.7500694617850754,hohmann_only,0.4378795985124043,0.6281105452060014,0.4378795985124043,B->R+,0.0,0.0,yes
3.7789486972259834,hohmann_only,0.4392075732457227,0.6272916629125345,0.4392075732457227,B->R+,0.0,0.0,yes
3.808050331277943,hohmann_only,0.44052372279067675,0.6264759156245345,0.44052372279067675,B->R+,0.0,0.0,yes
3.837376076629725,hohmann_only,0.4418280986461327,0.62566329133996,0.4418280986461327,B->R+,0.0,0.0,yes
3.86692765915949,hohmann_only,0.4431207524623612,0.6248537781027182,0.4431207524623612,B->R+,0.0,0.0,yes
3.896706818036367,hohmann_only,0.44440173603620825,0.6240473640024884,0.44440173603620825,B->R+,0.0,0.0,yes
3.9267153058228033,hohmann_only,0.44567110130628657,0.6232440371745481,0.44567110130628657,B->R+,0.0,0.0,yes
3.9569548885777026,hohmann_only,0.4469289003481899,0.6224437857995972,0.4469289003481899,B->R+,0.0,0.0,yes
3.9874273459603695,hohmann_only,0.4481751853697298,0.6216465981035846,0.4481751853697298,B->R+,0.0,0.0,yes
4.018134471335238,hohmann_only,0.4494100087061961,0.6208524623575349,0.4494100087061961,B->R+,0.0,0.0,yes
4.049078071877422,hohmann_only,0.4506334228156415,0.6200613668773759,0.4506334228156415,B->R+,0.0,0.0,yes
4.080259968679061,hohmann_only,0.45184548027419025,0.6192733000237669,0.45184548027419025,B->R+,0.0,0.0,yes
